draw_date,lottery_name,draw_no,prize_rank,prize_amount,winning_number,source_url
2021-01-12,Sthree Sakthi,AK-526,5,500,3547,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,3581,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3605,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,2000,3650,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3795,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3886,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3900,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3936,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3963,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,3966,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,3988,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,4059,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4104,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4108,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,4119,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4200,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,2000,4236,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,4361,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,4365,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4380,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4431,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4519,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,2000,4551,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,4606,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,4659,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4660,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,4691,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4815,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,4822,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,500,4828,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,2000,4842,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,4887,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,4910,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,1000,4958,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,5164,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,5206,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,5226,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,5256,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,4,5000,5273,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,5287,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,5302,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,5363,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
2021-01-12,Sthree Sakthi,AK-526,5,100,5376,https://www.keralalotteries.net/2021/11/akshaya-kerala-lottery-result-ak-526-today-01-12-2021.html
